group,n,y_obs,p_bar,y_exp
"(-0.0009082000000000001, 0.00483]",58,1,0.00266118723712323,0.15434885975314735
"(0.00483, 0.00994]",57,0,0.007614939391082382,0.43405154529169576
"(0.00994, 0.0185]",57,1,0.013902233599954286,0.7924273151973943
"(0.0185, 0.0263]",58,1,0.02195583756138723,1.2734385785604594
"(0.0263, 0.0454]",57,3,0.033784549398630376,1.9257193157219314
"(0.0454, 0.0644]",57,5,0.05488822849252673,3.1286290240740238
"(0.0644, 0.101]",58,4,0.08223923517575316,4.769875640193683
"(0.101, 0.153]",57,3,0.12505486270586366,7.128127174234229
"(0.153, 0.291]",57,14,0.21353266261421075,12.171361769010012
"(0.291, 0.969]",58,31,0.5383107030683308,31.222020777963188
